State,name,Lat,Long, Unemployed 2010 ,Rate 2010, Unemployed 2012 ,Rate 2012, Unemployed 2014 ,Rate 2014, Unemployed 2016 ,Rate 2016,Unemployed 2018,Rate 2018, Unemployed 2019 ,Rate 2019, Unemployed Aug2020 ,Rate Aug2020
OR,Portland,45.523452,-122.676207,"123,713",10.2,"95,636",8,"73,586",6.1,"58,521",4.6,"50,188",3.8,"47,037",3.5,"110,462",8.4
PA,Philadelphia,39.952584,-75.165222,"95,636",9.8,"98,367",9.9,"71,964",7.3,"61,751",6.2,"50,691",5,"52,198",5.1,"144,848",14.1
RI,Providence,36.311004,-94.127431,"76,695",11.1,"68,210",10,"51,354",7.5,"34,537",5.1,"27,598",4,"24,736",3.6,"85,378",12.6
SC,Charleston,32.776475,-79.931051,"30,265",9.3,"26,094",7.6,19516,5.5,"16,120",4.3,"11,282",2.9,"9,483",2.4,"27,390",6.8
SD,Sioux Falls,43.547303,-96.728333,"6,347",4.8,"5,185",3.8,"4,084",2.9,"3,644",2.5,"3,962",2.6,"4,358",2.8,"6,559",4.2
TN,Nashville,36.162664,-86.781602,"75,866",8.6,"58,052",6.4,"47,505",5.2,"36,310",3.7,"28,891",2.8,"28,582",2.6,"90,660",8.3
TX,Houston,29.760427,-95.369803,"245,481",8.3,"205,441",6.6,"160,374",4.9,"173,728",5.3,"145,524",4.3,"130,043",3.8,"282,337",8.1
UT,Salt Lake City,40.760779,-111.891047,"44,360",7.7,"30,893",5.3,"22,594",3.7,"20,293",3.2,"19,342",3,"16,951",2.5,"31,656",4.7
VT,Burlington,44.475883,-73.212072,"6,182",5,"4,862",3.9,"3,967",3.2,"3,242",2.6,"2,592",2,"2,381",1.9,"5,083",4.3
VA,Virginia Beach,36.852926,-75.977985,"63,270",7.6,"56,908",6.8,"47,968",5.7,"39,010",4.7,"28,261",3.3,"26,607",3.1,"63,192",7.4
WA,Seattle,47.60621,-122.332071,"141,024",9.4,"99,735",6.6,"74,994",4.8,"64,196",3.9,"54,989",3.2,"49,205",2.8,"127,701",7.4
WV,Charleston,38.34982,-81.632623,"8,131",7.7,"7,386",7.1,"6,370",6.3,"5,729",5.9,"4,929",5.3,"4,468",4.8,"9,132",9.9
WI,Milwaukee,43.038903,-87.906474,"73,100",8.9,"60,779",7.4,"48,064",5.8,"35,675",4.3,"26,152",3.2,"28,854",3.5,"60,850",7.4
WY,Cheyenne,41.139981,-104.820246,"3,090",6.7,"2,744",5.8,"2,105",4.3,"2,032",4.2,"1,793",3.7,"1,678",3.5,"2,498",5.1
PR,San Juan,18.466334,-66.105722,"123,559",14.7,"99,540",12.5,"87,756",11.7,"74,414",10,"56,413",7.8,"49,702",6.9,"59,237",8.3
