FIPStxt,Stabr,area_name,Metro_2013, Civilian_labor_force_2000 , Employed_2000 , Unemployed_2000 ,Unemployment_rate_2000, Civilian_labor_force_2001 , Employed_2001 , Unemployed_2001 ,Unemployment_rate_2001, Civilian_labor_force_2002 , Employed_2002 , Unemployed_2002 ,Unemployment_rate_2002, Civilian_labor_force_2003 , Employed_2003 , Unemployed_2003 ,Unemployment_rate_2003, Civilian_labor_force_2004 , Employed_2004 , Unemployed_2004 ,Unemployment_rate_2004, Civilian_labor_force_2005 , Employed_2005 , Unemployed_2005 ,Unemployment_rate_2005, Civilian_labor_force_2006 , Employed_2006 , Unemployed_2006 ,Unemployment_rate_2006, Civilian_labor_force_2007 , Employed_2007 , Unemployed_2007 ,Unemployment_rate_2007, Civilian_labor_force_2008 , Employed_2008 , Unemployed_2008 ,Unemployment_rate_2008,Civilian_labor_force_2009,Employed_2009,Unemployed_2009,Unemployment_rate_2009, Civilian_labor_force_2010 , Employed_2010 , Unemployed_2010 ,Unemployment_rate_2010, Civilian_labor_force_2011 , Employed_2011 , Unemployed_2011 ,Unemployment_rate_2011, Civilian_labor_force_2012 , Employed_2012 , Unemployed_2012 ,Unemployment_rate_2012, Civilian_labor_force_2013 , Employed_2013 , Unemployed_2013 ,Unemployment_rate_2013, Civilian_labor_force_2014 , Employed_2014 , Unemployed_2014 ,Unemployment_rate_2014, Civilian_labor_force_2015 , Employed_2015 , Unemployed_2015 ,Unemployment_rate_2015, Civilian_labor_force_2016 , Employed_2016 , Unemployed_2016 ,Unemployment_rate_2016,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018, Civilian_labor_force_2019 , Employed_2019 , Unemployed_2019 ,Unemployment_rate_2019,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018
20173,KS,Wichita,1,"238,296","228,780","9,516",4,"237,443","227,793","9,650",4.1,"241,458","227,267","14,191",5.9,"240,350","224,059","16,291",6.8,"243,548","228,577","14,971",6.1,"244,942","231,582","13,360",5.5,"245,201","233,957","11,244",4.6,"250,715","240,113","10,602",4.2,"254,830","243,295","11,535",4.5,"259,399","237,590","21,809",8.4,"252,713","230,497","22,216",8.8,"249,217","229,352","19,865",8,"246,743","229,760","16,983",6.9,"246,243","231,111","15,132",6.1,"247,015","233,744","13,271",5.4,"246,743","234,963","11,780",5,"247,016","235,528","11,488",4.7,"244,473","234,077","10,396",4.3,"246,776","237,636","9,140",3.7,"251,155","242,477","8,678",3.5,"56,381",97
21000,KY,Kentucky,,"1,965,688","1,883,714","81,974",4.2,"1,958,409","1,857,238","101,171",5.2,"1,944,020","1,833,535","110,485",5.7,"1,960,045","1,839,873","120,172",6.1,"1,963,875","1,857,816","106,059",5.4,"1,999,777","1,881,943","117,834",5.9,"2,029,231","1,913,472","115,759",5.7,"2,032,082","1,922,220","109,862",5.4,"2,030,738","1,900,683","130,055",6.4,"2,060,162","1,847,126","213,036",10.3,"2,054,375","1,844,650","209,725",10.2,"2,056,410","1,862,928","193,482",9.4,"2,059,127","1,891,162","167,965",8.2,"2,055,442","1,890,879","164,563",8,"2,006,359","1,876,841","129,518",6.5,"1,981,373","1,876,497","104,876",5,"2,015,160","1,911,978","103,182",5.1,"2,053,074","1,952,513","100,561",4.9,"2,057,791","1,968,611","89,180",4.3,"2,072,586","1,983,577","89,009",4.3,"50,189",100
21111,KY,Louisville,1,"364,088","350,740","13,348",3.7,"355,396","338,825","16,571",4.7,"348,839","329,254","19,585",5.6,"347,618","326,521","21,097",6.1,"347,354","328,837","18,517",5.3,"351,726","330,869","20,857",5.9,"355,094","334,975","20,119",5.7,"356,083","337,283","18,800",5.3,"355,732","333,279","22,453",6.3,"360,376","323,842","36,534",10.1,"378,722","340,806","37,916",10,"378,781","342,935","35,846",9.5,"382,602","352,234","30,368",7.9,"385,274","356,481","28,793",7.5,"377,526","354,769","22,757",6,"377,768","359,717","18,051",5,"386,617","369,452","17,165",4.4,"396,486","378,941","17,545",4.4,"400,457","384,240","16,217",4,"402,518","386,373","16,145",4,"55,860",111.3
22000,LA,Louisiana,,"2,037,075","1,929,056","108,019",5.3,"2,028,302","1,911,818","116,484",5.7,"2,004,222","1,881,146","123,076",6.1,"2,018,324","1,888,974","129,350",6.4,"2,037,176","1,916,536","120,640",5.9,"2,069,403","1,921,385","148,018",7.2,"1,988,513","1,899,981","88,532",4.5,"2,030,434","1,944,038","86,396",4.3,"2,084,835","1,982,381","102,454",4.9,"2,064,768","1,923,884","140,884",6.8,"2,086,076","1,919,852","166,224",8,"2,073,217","1,911,021","162,196",7.8,"2,080,280","1,933,137","147,143",7.1,"2,101,416","1,960,539","140,877",6.7,"2,151,282","2,014,189","137,093",6.4,"2,158,123","2,021,509","136,614",6,"2,120,980","1,992,249","128,731",6.1,"2,103,217","1,995,433","107,784",5.1,"2,104,497","2,001,995","102,502",4.9,"2,095,452","1,994,285","101,167",4.8,"48,021",100
22071,LA,New Orleans,1,"211,299","199,774","11,525",5.5,"206,259","194,236","12,023",5.8,"200,243","187,637","12,606",6.3,"197,740","185,357","12,383",6.3,"196,115","184,460","11,655",5.9,,,,,,,,,"107,655","102,197","5,458",5.1,"133,877","125,795","8,082",6,"145,831","134,275","11,556",7.9,"162,592","148,465","14,127",8.7,"165,726","151,413","14,313",8.6,"168,791","155,488","13,303",7.9,"173,465","160,741","12,724",7.3,"179,100","166,682","12,418",6.9,"181,971","170,104","11,867",7,"179,955","169,401","10,554",5.9,"178,474","169,295","9,179",5.1,"178,349","169,410","8,939",5,"178,834","170,121","8,713",4.9,"38,855",80.9
23000,ME,Maine,,"678,164","655,349","22,815",3.4,"674,319","648,545","25,774",3.8,"675,232","645,935","29,297",4.3,"683,535","649,571","33,964",5,"686,000","654,161","31,839",4.6,"697,153","663,132","34,021",4.9,"701,541","669,554","31,987",4.6,"700,468","667,781","32,687",4.7,"701,646","663,158","38,488",5.5,"696,219","639,954","56,265",8.1,"695,182","638,630","56,552",8.1,"699,281","644,085","55,196",7.9,"702,636","650,117","52,519",7.5,"705,417","658,522","46,895",6.6,"696,313","657,188","39,125",5.6,"683,243","653,259","29,984",4,"690,983","664,838","26,145",3.8,"697,548","674,003","23,545",3.4,"695,679","673,150","22,529",3.2,"692,739","671,759","20,980",3,"55,579",100
23005,ME,Portland,1,"149,932","146,206","3,726",2.5,"149,431","145,219","4,212",2.8,"149,285","144,479","4,806",3.2,"151,456","146,156","5,300",3.5,"153,456","148,302","5,154",3.4,"155,620","149,953","5,667",3.6,"156,163","150,916","5,247",3.4,"157,386","151,982","5,404",3.4,"157,278","150,651","6,627",4.2,"156,176","146,081","10,095",6.5,"156,017","145,846","10,171",6.5,"158,118","148,107","10,011",6.3,"159,792","150,251","9,541",6,"160,923","152,393","8,530",5.3,"159,182","152,163","7,019",4.4,"157,894","152,480","5,414",3,"161,698","156,997","4,701",2.9,"164,393","160,092","4,301",2.6,"164,612","160,364","4,248",2.6,"164,832","160,912","3,920",2.4,"71,586",128.8
24000,MD,Maryland,,"2,803,685","2,703,284","100,401",3.6,"2,837,985","2,724,184","113,801",4,"2,869,954","2,742,501","127,453",4.4,"2,882,219","2,754,523","127,696",4.4,"2,889,324","2,766,475","122,849",4.3,"2,924,546","2,803,487","121,059",4.1,"2,963,866","2,849,354","114,512",3.9,"2,970,094","2,867,348","102,746",3.5,"3,001,953","2,874,987","126,966",4.2,"3,032,700","2,820,245","212,455",7,"3,073,826","2,838,492","235,334",7.7,"3,096,561","2,872,084","224,477",7.2,"3,119,647","2,902,307","217,340",7,"3,129,352","2,923,498","205,854",6.6,"3,123,048","2,941,562","181,486",5.8,"3,141,602","2,981,859","159,743",5,"3,166,204","3,025,243","140,961",4.5,"3,204,581","3,068,886","135,695",4.2,"3,221,603","3,094,569","127,034",3.9,"3,260,667","3,143,967","116,700",3.6,"83,076",100
24510,MD,Baltimore,1,"280,025","263,397","16,628",5.9,"279,761","261,410","18,351",6.6,"275,146","255,706","19,440",7.1,"275,629","255,498","20,131",7.3,"273,347","253,679","19,668",7.2,"272,354","253,539","18,815",6.9,"273,753","256,270","17,483",6.4,"275,151","259,986","15,165",5.5,"278,558","260,431","18,127",6.5,"281,265","252,544","28,721",10.2,"295,516","262,359","33,157",11.2,"295,593","264,148","31,445",10.6,"297,246","267,009","30,237",10.2,"296,567","267,895","28,672",9.7,"293,710","268,596","25,114",8.6,"293,652","271,532","22,120",8,"290,265","271,061","19,204",6.6,"291,127","272,834","18,293",6.3,"288,238","271,672","16,566",5.7,"290,743","275,911","14,832",5.1,"50,501",60.8
25000,MA,Massachusetts,,"3,330,177","3,240,245","89,932",2.7,"3,381,287","3,255,134","126,153",3.7,"3,431,082","3,250,085","180,997",5.3,"3,422,409","3,226,981","195,428",5.7,"3,395,511","3,220,838","174,673",5.1,"3,384,116","3,220,089","164,027",4.8,"3,413,339","3,246,316","167,023",4.9,"3,426,009","3,268,096","157,913",4.6,"3,452,468","3,261,408","191,060",5.5,"3,470,382","3,189,010","281,372",8.1,"3,480,083","3,190,818","289,265",8.3,"3,469,308","3,217,754","251,554",7.3,"3,485,161","3,252,531","232,630",6.7,"3,512,827","3,276,792","236,035",6.7,"3,568,321","3,363,438","204,883",5.7,"3,589,313","3,417,113","172,200",5,"3,617,530","3,477,553","139,977",3.9,"3,689,566","3,551,388","138,178",3.7,"3,785,489","3,658,286","127,203",3.4,"3,817,437","3,706,556","110,881",2.9,"79,817",100
25025,MA,Boston,1,"347,381","336,913","10,468",3,"351,958","337,308","14,650",4.2,"352,511","331,632","20,879",5.9,"345,791","323,479","22,312",6.5,"336,954","317,830","19,124",5.7,"332,082","314,372","17,710",5.3,"357,971","339,648","18,323",5.1,"364,284","347,532","16,752",4.6,"371,840","351,623","20,217",5.4,"374,530","345,580","28,950",7.7,"393,933","363,832","30,101",7.6,"396,308","370,009","26,299",6.6,"401,375","376,763","24,612",6.1,"406,846","381,623","25,223",6.2,"415,476","393,536","21,940",5.3,"420,905","402,385","18,520",4,"427,223","412,113","15,110",3.5,"440,368","425,335","15,033",3.4,"455,039","441,272","13,767",3,"461,168","449,136","12,032",2.6,"68,743",86.1
26000,MI,Michigan,,"5,162,774","4,976,322","186,452",3.6,"5,119,956","4,854,630","265,326",5.2,"5,017,141","4,702,399","314,742",6.3,"5,027,859","4,667,103","360,756",7.2,"5,062,376","4,705,591","356,785",7,"5,083,130","4,738,902","344,228",6.8,"5,076,656","4,721,085","355,571",7,"5,011,120","4,658,939","352,181",7,"4,921,466","4,529,289","392,177",8,"4,903,544","4,233,803","669,741",13.7,"4,798,954","4,194,041","604,913",12.6,"4,685,164","4,198,349","486,815",10.4,"4,672,695","4,246,658","426,037",9.1,"4,723,945","4,308,030","415,915",8.8,"4,761,391","4,417,024","344,367",7.2,"4,758,851","4,500,448","258,403",5,"4,847,009","4,605,820","241,189",5,"4,884,100","4,658,713","225,387",4.6,"4,908,714","4,705,360","203,354",4.1,"4,937,266","4,735,826","201,440",4.1,"56,640",100
26163,MI,Detroit,1,"955,276","917,566","37,710",3.9,"942,230","888,352","53,878",5.7,"917,251","851,213","66,038",7.2,"920,061","840,332","79,729",8.7,"916,559","837,179","79,380",8.7,"910,762","835,251","75,511",8.3,"901,905","827,726","74,179",8.2,"883,501","810,552","72,949",8.3,"863,865","783,771","80,094",9.3,"869,996","728,832","141,164",16.2,"802,754","678,426","124,328",15.5,"774,443","674,177","100,266",12.9,"771,845","681,453","90,392",11.7,"776,560","687,300","89,260",11.5,"769,698","695,664","74,034",9.6,"760,134","708,069","52,065",7,"780,565","731,656","48,909",6.3,"791,967","747,804","44,163",5.6,"797,770","756,452","41,318",5.2,"808,171","767,123","41,048",5.1,"46,440",82
27000,MN,Minnesota,,"2,812,947","2,724,118","88,829",3.2,"2,845,203","2,737,961","107,242",3.8,"2,859,602","2,731,080","128,522",4.5,"2,874,663","2,734,287","140,376",4.9,"2,880,428","2,745,615","134,813",4.7,"2,879,760","2,762,733","117,027",4.1,"2,887,832","2,772,115","115,717",4,"2,906,390","2,773,704","132,686",4.6,"2,925,088","2,766,342","158,746",5.4,"2,941,976","2,713,426","228,550",7.8,"2,938,795","2,721,194","217,601",7.4,"2,946,279","2,755,264","191,015",6.5,"2,946,356","2,781,141","165,215",5.6,"2,958,596","2,811,762","146,834",5,"2,972,801","2,848,788","124,013",4.2,"3,000,340","2,889,488","110,852",4,"3,035,242","2,918,185","117,057",3.9,"3,057,358","2,953,440","103,918",3.4,"3,071,433","2,981,153","90,280",2.9,"3,109,648","3,009,156","100,492",3.2,"70,295",100
27053,MN,Minneapolis,1,"666,621","648,571","18,050",2.7,"666,946","643,865","23,081",3.5,"661,528","632,374","29,154",4.4,"660,470","629,699","30,771",4.7,"657,468","628,479","28,989",4.4,"652,568","628,595","23,973",3.7,"649,356","626,223","23,133",3.6,"655,691","629,005","26,686",4.1,"656,957","624,644","32,313",4.9,"656,192","608,540","47,652",7.3,"650,891","605,294","45,597",7,"656,063","616,331","39,732",6.1,"659,812","625,310","34,502",5.2,"666,831","636,298","30,533",4.6,"672,373","646,952","25,421",3.8,"677,303","655,117","22,186",3,"687,887","664,996","22,891",3.3,"698,627","677,806","20,821",3,"702,946","685,282","17,664",2.5,"712,531","692,855","19,676",2.8,"76,067",108.2
28000,MS,Mississippi,,"1,319,266","1,248,240","71,026",5.4,"1,294,134","1,222,500","71,634",5.5,"1,286,236","1,201,191","85,045",6.6,"1,301,250","1,219,145","82,105",6.3,"1,313,102","1,232,187","80,915",6.2,"1,317,392","1,218,825","98,567",7.5,"1,290,171","1,205,906","84,265",6.5,"1,303,514","1,224,059","79,455",6.1,"1,306,772","1,220,991","85,781",6.6,"1,269,219","1,148,930","120,289",9.5,"1,306,608","1,170,879","135,729",10.4,"1,342,808","1,208,747","134,061",10,"1,316,536","1,198,196","118,340",9,"1,272,477","1,163,752","108,725",8.5,"1,250,171","1,156,341","93,830",7.5,"1,264,840","1,184,093","80,747",6,"1,278,447","1,204,372","74,075",5.8,"1,277,602","1,212,553","65,049",5.1,"1,269,134","1,207,680","61,454",4.8,"1,276,118","1,206,892","69,226",5.4,"44,740",100
28049,MS,Jackson,1,"122,940","116,785","6,155",5,"122,510","116,587","5,923",4.8,"119,845","112,967","6,878",5.7,"121,448","114,758","6,690",5.5,"124,079","117,206","6,873",5.5,"122,092","114,214","7,878",6.5,"118,328","111,647","6,681",5.6,"117,887","111,407","6,480",5.5,"116,684","109,822","6,862",5.9,"113,528","104,170","9,358",8.2,"113,892","102,705","11,187",9.8,"118,305","107,045","11,260",9.5,"115,704","105,543","10,161",8.8,"110,759","101,375","9,384",8.5,"108,306","100,481","7,825",7.2,"109,303","102,755","6,548",6,"110,065","104,105","5,960",5.4,"109,419","104,106","5,313",4.9,"106,905","101,839","5,066",4.7,"107,145","101,524","5,621",5.2,"44,776",100.1
29000,MO,Missouri,,"2,959,946","2,853,891","106,055",3.6,"3,001,465","2,862,838","138,627",4.6,"3,000,908","2,839,467","161,441",5.4,"3,020,821","2,850,987","169,834",5.6,"3,015,650","2,838,872","176,778",5.9,"3,009,334","2,847,006","162,328",5.4,"3,029,689","2,882,757","146,932",4.8,"3,034,579","2,879,647","154,932",5.1,"3,028,857","2,842,845","186,012",6.1,"3,049,563","2,766,711","282,852",9.3,"3,056,484","2,763,535","292,949",9.6,"3,047,786","2,789,224","258,562",8.5,"3,025,309","2,815,275","210,034",6.9,"3,020,202","2,817,435","202,767",6.7,"3,046,903","2,859,966","186,937",6.1,"3,075,362","2,920,639","154,723",5,"3,081,333","2,941,072","140,261",4.6,"3,063,474","2,948,905","114,569",3.7,"3,053,105","2,956,667","96,438",3.2,"3,083,245","2,981,688","101,557",3.3,"54,412",100
29095,MO,Kansas City,1,"346,703","333,861","12,842",3.7,"347,409","330,481","16,928",4.9,"344,703","323,714","20,989",6.1,"343,792","321,297","22,495",6.5,"341,134","317,117","24,017",7,"336,286","314,780","21,506",6.4,"335,295","316,140","19,155",5.7,"336,581","316,869","19,712",5.9,"333,855","310,717","23,138",6.9,"343,945","308,926","35,019",10.2,"361,016","322,487","38,529",10.7,"358,229","324,168","34,061",9.5,"355,862","328,189","27,673",7.8,"353,084","326,123","26,961",7.6,"357,424","332,011","25,413",7.1,"362,912","341,432","21,480",6,"364,782","346,091","18,691",5.1,"363,006","347,100","15,906",4.4,"359,032","345,609","13,423",3.7,"363,539","350,008","13,531",3.7,"55,864",102.7
30000,MT,Montana,,"467,293","444,137","23,156",5,"466,063","444,909","21,154",4.5,"467,203","446,640","20,563",4.4,"471,489","449,266","22,223",4.7,"480,281","457,423","22,858",4.8,"486,054","464,907","21,147",4.4,"493,614","476,377","17,237",3.5,"502,070","484,189","17,881",3.6,"509,163","483,347","25,816",5.1,"501,014","466,713","34,301",6.8,"500,525","463,998","36,527",7.3,"501,225","466,403","34,822",6.9,"506,485","476,174","30,311",6,"510,781","483,071","27,710",5.4,"512,245","488,336","23,909",4.7,"517,656","496,042","21,614",4,"522,497","500,830","21,667",4.1,"525,575","504,871","20,704",3.9,"528,834","509,568","19,266",3.6,"533,497","514,917","18,580",3.5,"55,248",100
30111,MT,Billings,1,"71,223","68,198","3,025",4.2,"71,814","69,208","2,606",3.6,"74,555","71,916","2,639",3.5,"75,259","72,484","2,775",3.7,"76,635","73,715","2,920",3.8,"78,579","75,801","2,778",3.5,"79,565","77,278","2,287",2.9,"81,465","79,262","2,203",2.7,"82,535","79,407","3,128",3.8,"81,872","77,821","4,051",4.9,"76,415","71,920","4,495",5.9,"77,147","72,938","4,209",5.5,"78,680","75,067","3,613",4.6,"79,268","75,831","3,437",4.3,"79,413","76,460","2,953",3.7,"80,777","78,096","2,681",3,"81,264","78,343","2,921",3.6,"81,390","78,600","2,790",3.4,"81,536","78,878","2,658",3.3,"81,781","79,173","2,608",3.2,"59,975",108.6
31000,NE,Nebraska,,"944,973","918,370","26,603",2.8,"950,764","921,003","29,761",3.1,"954,224","919,401","34,823",3.6,"964,258","926,315","37,943",3.9,"969,981","932,515","37,466",3.9,"972,992","935,906","37,086",3.8,"970,052","939,874","30,178",3.1,"978,763","949,494","29,269",3,"989,757","956,759","32,998",3.3,"991,583","945,648","45,935",4.6,"993,398","947,360","46,038",4.6,"1,003,256","959,059","44,197",4.4,"1,014,980","974,428","40,552",4,"1,018,294","979,937","38,357",3.8,"1,010,818","977,617","33,201",3.3,"1,007,016","976,735","30,281",3,"1,009,202","978,237","30,965",3.1,"1,011,977","982,435","29,542",2.9,"1,023,491","993,561","29,930",2.9,"1,035,240","1,003,680","31,560",3,"59,724",100
31055,NE,Omaha,1,"258,571","250,752","7,819",3,"260,138","250,988","9,150",3.5,"261,768","250,512","11,256",4.3,"263,051","251,038","12,013",4.6,"264,598","252,793","11,805",4.5,"266,086","254,196","11,890",4.5,"265,341","256,013","9,328",3.5,"269,973","260,826","9,147",3.4,"274,208","264,071","10,137",3.7,"274,796","260,623","14,173",5.2,"279,280","264,986","14,294",5.1,"282,043","268,236","13,807",4.9,"285,676","272,913","12,763",4.5,"286,568","274,688","11,880",4.1,"286,124","275,745","10,379",3.6,"286,569","277,086","9,483",3,"287,660","278,127","9,533",3.3,"290,548","281,350","9,198",3.2,"294,689","285,210","9,479",3.2,"299,587","289,816","9,771",3.3,"64,580",108.1
32000,NV,Nevada,,"1,067,022","1,022,462","44,560",4.2,"1,112,079","1,054,262","57,817",5.2,"1,129,668","1,066,121","63,547",5.6,"1,147,036","1,088,787","58,249",5.1,"1,177,634","1,126,943","50,691",4.3,"1,223,831","1,173,709","50,122",4.1,"1,285,318","1,233,287","52,031",4,"1,330,396","1,270,572","59,824",4.5,"1,363,574","1,272,187","91,387",6.7,"1,349,299","1,196,758","152,541",11.3,"1,358,578","1,174,774","183,804",13.5,"1,373,115","1,194,264","178,851",13,"1,376,381","1,222,710","153,671",11.2,"1,381,157","1,248,122","133,035",9.6,"1,388,769","1,278,808","109,961",7.9,"1,407,748","1,312,816","94,932",7,"1,425,451","1,344,258","81,193",5.7,"1,460,754","1,387,628","73,126",5,"1,503,683","1,436,891","66,792",4.4,"1,542,452","1,482,476","59,976",3.9,"58,740",100
32003,NV,Las Vegas,1,"730,308","698,877","31,431",4.3,"767,224","725,947","41,277",5.4,"782,858","737,054","45,804",5.9,"801,220","759,476","41,744",5.2,"829,072","793,008","36,064",4.3,"869,251","833,919","35,332",4.1,"917,900","881,109","36,791",4,"951,064","908,308","42,756",4.5,"980,238","915,147","65,091",6.6,"967,672","856,495","111,177",11.5,"984,373","848,942","135,431",13.8,"995,128","863,507","131,621",13.2,"999,325","886,826","112,499",11.3,"1,005,660","908,300","97,360",9.7,"1,016,386","935,262","81,124",8,"1,035,380","964,853","70,527",7,"1,048,544","987,517","61,027",5.8,"1,072,743","1,016,808","55,935",5.2,"1,101,978","1,050,577","51,401",4.7,"1,131,551","1,085,793","45,758",4,"57,155",97.3
33000,NH,New Hampshire,,"687,908","669,621","18,287",2.7,"697,760","673,778","23,982",3.4,"702,280","670,880","31,400",4.5,"707,524","677,030","30,494",4.3,"716,186","689,150","27,036",3.8,"725,849","700,026","25,823",3.6,"731,854","706,777","25,077",3.4,"737,942","712,008","25,934",3.5,"742,781","714,104","28,677",3.9,"744,227","697,802","46,425",6.2,"738,257","695,135","43,122",5.8,"736,302","696,532","39,770",5.4,"741,097","700,371","40,726",5.5,"741,285","703,534","37,751",5.1,"743,320","711,551","31,769",4.3,"745,701","720,583","25,118",3,"751,500","730,066","21,434",2.9,"754,682","734,205","20,477",2.7,"762,758","743,182","19,576",2.6,"773,740","754,054","19,686",2.5,"75,322",100
33011,NH,Manchester,1,"212,572","207,152","5,420",2.5,"216,244","208,619","7,625",3.5,"216,674","206,322","10,352",4.8,"219,658","209,646","10,012",4.6,"223,189","214,535","8,654",3.9,"226,188","217,986","8,202",3.6,"226,541","218,494","8,047",3.6,"228,214","220,129","8,085",3.5,"228,996","220,158","8,838",3.9,"229,684","214,833","14,851",6.5,"226,152","212,241","13,911",6.2,"225,079","212,340","12,739",5.7,"226,905","213,782","13,123",5.8,"227,769","215,532","12,237",5.4,"229,068","218,783","10,285",4.5,"229,924","221,738","8,186",4,"232,001","224,981","7,020",3,"234,126","227,400","6,726",2.9,"238,088","231,744","6,344",2.7,"242,579","236,216","6,363",2.6,"78,714",104.5
34000,NJ,New Jersey,,"4,282,069","4,123,717","158,352",3.7,"4,288,826","4,106,225","182,601",4.3,"4,346,237","4,095,174","251,063",5.8,"4,347,154","4,093,686","253,468",5.8,"4,349,171","4,138,830","210,341",4.8,"4,391,579","4,194,895","196,684",4.5,"4,445,879","4,236,485","209,394",4.7,"4,441,797","4,251,815","189,982",4.3,"4,504,432","4,263,965","240,467",5.3,"4,550,645","4,138,570","412,075",9.1,"4,555,330","4,121,455","433,875",9.5,"4,565,272","4,138,464","426,808",9.3,"4,588,033","4,159,986","428,047",9.3,"4,548,560","4,173,828","374,732",8.2,"4,487,038","4,183,541","303,497",6.8,"4,487,308","4,227,638","259,670",6,"4,473,781","4,251,211","222,570",5,"4,454,682","4,248,743","205,939",4.6,"4,432,520","4,250,796","181,724",4.1,"4,493,125","4,333,333","159,792",3.6,"81,777",100
34013,NJ,Newark,1,"365,491","349,001","16,490",4.5,"364,711","345,299","19,412",5.3,"369,274","342,684","26,590",7.2,"367,727","341,078","26,649",7.2,"362,557","340,464","22,093",6.1,"360,801","340,502","20,299",5.6,"362,670","341,287","21,383",5.9,"361,575","342,249","19,326",5.3,"365,516","341,987","23,529",6.4,"367,513","329,542","37,971",10.3,"382,021","340,577","41,444",10.8,"382,913","341,465","41,448",10.8,"384,092","342,808","41,284",10.7,"379,967","343,127","36,840",9.7,"373,430","343,438","29,992",8,"371,332","345,649","25,683",7,"368,262","346,140","22,122",6,"367,815","347,042","20,773",5.6,"365,106","346,431","18,675",5.1,"368,748","352,334","16,414",4.5,"62,875",76.9
35000,NM,New Mexico,,"845,755","804,103","41,652",4.9,"857,949","815,642","42,307",4.9,"874,496","826,086","48,410",5.5,"889,730","837,667","52,063",5.9,"902,265","852,612","49,653",5.5,"918,156","871,248","46,908",5.1,"928,094","889,448","38,646",4.2,"934,027","898,998","35,029",3.8,"944,548","902,411","42,137",4.5,"940,352","869,491","70,861",7.5,"936,088","860,154","75,934",8.1,"930,356","860,305","70,051",7.5,"927,795","861,617","66,178",7.1,"923,899","859,804","64,095",6.9,"931,752","869,558","62,194",6.7,"934,982","874,206","60,776",7,"936,723","874,970","61,753",6.6,"935,259","880,442","54,817",5.9,"938,245","892,331","45,914",4.9,"954,596","908,166","46,430",4.9,"47,405",100
35001,NM,Albuquerque,1,"287,292","275,836","11,456",4,"290,898","278,762","12,136",4.2,"294,256","279,753","14,503",4.9,"296,480","280,961","15,519",5.2,"301,259","286,255","15,004",5,"305,757","291,412","14,345",4.7,"310,792","298,859","11,933",3.8,"312,319","301,166","11,153",3.6,"313,468","299,763","13,705",4.4,"310,124","286,763","23,361",7.5,"326,594","301,358","25,236",7.7,"323,703","300,392","23,311",7.2,"321,012","299,201","21,811",6.8,"319,638","298,965","20,673",6.5,"322,039","302,055","19,984",6.2,"323,333","304,413","18,920",6,"326,722","307,963","18,759",5.7,"327,461","310,374","17,087",5.2,"328,200","313,554","14,646",4.5,"333,865","319,048","14,817",4.4,"51,372",108.4
36000,NY,New York,,"9,133,869","8,718,749","415,120",4.5,"9,151,745","8,709,897","441,848",4.8,"9,275,515","8,705,352","570,163",6.1,"9,263,401","8,672,909","590,492",6.4,"9,355,953","8,812,618","543,335",5.8,"9,460,866","8,986,859","474,007",5,"9,508,149","9,077,529","430,620",4.5,"9,522,056","9,088,207","433,849",4.6,"9,664,773","9,139,080","525,693",5.4,"9,647,485","8,844,486","802,999",8.3,"9,595,362","8,769,723","825,639",8.6,"9,517,361","8,728,057","789,304",8.3,"9,612,232","8,793,385","818,847",8.5,"9,659,170","8,913,788","745,382",7.7,"9,529,418","8,925,698","603,720",6.3,"9,558,752","9,054,569","504,183",5,"9,551,928","9,088,257","463,671",4.9,"9,549,078","9,100,976","448,102",4.7,"9,521,869","9,127,699","394,170",4.1,"9,514,378","9,137,551","376,827",4,"67,648",100
,,New York City,,"3,666,316","3,455,307","211,009",29,"3,677,800","3,459,230","218,570",30,"3,702,088","3,405,571","296,517",40,"3,683,378","3,375,960","307,418",42,"3,742,291","3,478,177","264,114",36,"3,801,957","3,581,673","220,284",29,"3,816,394","3,626,608","189,786",25,"3,858,607","3,664,280","194,327",26,"3,926,197","3,705,456","220,741",29,"3,960,775","3,591,529","369,246",47,"3,950,404","3,573,552","376,852",49,"3,962,835","3,602,688","360,147",47,"4,022,461","3,646,479","375,982",48,"4,084,535","3,723,927","360,608",45,"4,090,981","3,794,359","296,622",37,"4,102,226","3,868,509","233,717",30,"4,115,737","3,901,580","214,157",27,"4,110,802","3,920,330","190,472",24,"4,080,082","3,908,729","171,353",22,"4,069,191","3,908,498","160,693",20,"332,189",491
